timestamp,trans_x,trans_y,trans_z,quat_x,quat_y,quat_z,quat_w
1702306533.211023472,19.2581, -4.63729, -0.37765,-0.0238954, -0.00928143, -0.623542, 0.781369
1702306534.211393397,19.5032, -6.08724, -0.376409,-0.0306453, -0.0112764, -0.637379, 0.769858
1702306535.211274542,19.6873, -7.4639, -0.332884,-0.0343427, -0.0125813, -0.647956, 0.760799
1702306536.211351069,19.8759, -8.94785, -0.353037,-0.0217898, -0.00291712, -0.660254, 0.75072
1702306537.211263992,19.9915, -10.384, -0.362382,-0.017533, -0.00164171, -0.674118, 0.738414
1702306538.212118731,20.1093, -11.7149, -0.343923,-0.0239627, -0.0103858, -0.67871, 0.733941
1702306539.212405851,20.1799, -13.1654, -0.333584,-0.0246106, -0.00284794, -0.681934, 0.730994
1702306540.212287340,20.2659, -14.5331, -0.321708,-0.0262815, -0.00583711, -0.67176, 0.74028
1702306541.211464223,20.2754, -16.0345, -0.300965,-0.0232864, -0.00461606, -0.700062, 0.713688
1702306542.211197714,20.202, -17.4387, -0.312401,-0.031554, -0.010212, -0.721404, 0.69172
1702306543.210573713,20.0554, -18.8995, -0.269102,-0.0314123, -0.0111728, -0.745172, 0.666038
1702306544.211613998,19.8078, -19.9843, -0.249078,-0.0361883, -0.0139575, -0.827117, 0.56069
1702306545.210399422,19.4276, -20.492, -0.218267,0.0421107, 0.0193973, 0.906023, -0.420682
1702306546.210723200,18.9757, -20.9164, -0.212731,0.0425038, 0.0136879, 0.978657, -0.20059
1702306547.211215138,18.7003, -21.1055, -0.128261,0.0436229, 0.0148178, 0.998841, -0.0139327
1702306548.210707972,18.2274, -20.9946, -0.119162,0.0530832, 0.015972, 0.980254, 0.189814
1702306549.210748578,17.8063, -20.753, -0.1238,0.045388, 0.0173845, 0.921597, 0.385094
1702306550.211501724,17.5478, -20.3602, -0.114918,0.0350922, 0.0206559, 0.830994, 0.554789
1702306551.209903084,17.5344, -19.8942, -0.0830002,0.0370517, 0.00694296, 0.731725, 0.680557
1702306552.211430579,17.508, -18.5017, -0.0974466,0.038774, 0.0151188, 0.693486, 0.719267
1702306553.211956231,17.5684, -17.0589, -0.18585,0.0360054, 0.0053904, 0.686505, 0.726213
1702306554.213679355,17.7106, -15.6442, -0.201061,0.0331948, 0.00658431, 0.682403, 0.730192
1702306555.213714980,17.8426, -14.3043, -0.1811,0.0254057, 0.0138195, 0.674142, 0.738036
1702306556.213305755,18.0121, -12.8135, -0.207736,0.0323733, 0.0172334, 0.679118, 0.733113
1702306557.213574550,18.1142, -11.4701, -0.240106,0.0326013, 0.0186308, 0.685346, 0.727249
1702306558.213794189,18.234, -10.0172, -0.255713,0.0352399, 0.015494, 0.686102, 0.726486
1702306559.213549337,18.3583, -8.58344, -0.252664,0.0349509, 0.012954, 0.690221, 0.722638
1702306560.213353119,18.4411, -7.06213, -0.280197,0.0287985, 0.0170063, 0.693988, 0.719209
1702306561.213569505,18.5113, -5.64253, -0.325253,0.030982, 0.0173492, 0.697606, 0.715601
1702306562.113804693,18.5402, -4.37819, -0.324284,0.0293414, 0.0254686, 0.702349, 0.710772
1702306563.214108501,18.5355, -2.84999, -0.307397,0.0355141, 0.0238132, 0.712106, 0.700768
1702306564.213676642,18.5937, -1.29302, -0.323936,0.0357683, 0.021328, 0.72133, 0.691339
1702306565.212795259,18.4405, -0.0396444, -0.406389,0.0365777, 0.0126958, 0.787385, 0.615244
1702306566.212130301,17.9541, 1.28138, -0.391483,0.0354565, 0.0124742, 0.823917, 0.565463
1702306567.212584764,17.4305, 2.3551, -0.390256,0.0391334, 0.00536751, 0.859233, 0.510057
1702306568.212393333,16.8086, 3.39553, -0.362782,0.0401661, 0.00508576, 0.894962, 0.444302
1702306569.211744673,16.0887, 4.37876, -0.333893,0.036216, 0.00418448, 0.923582, 0.381665
1702306570.210409718,15.4703, 5.06626, -0.329191,0.0295913, 0.00827651, 0.939506, 0.341152
1702306571.211882812,14.8678, 5.41307, -0.322779,0.0253794, 0.0104791, 0.976115, 0.215514
1702306572.211757036,14.1762, 5.63393, -0.30694,0.0297505, 0.0155306, 0.99694, 0.0706002
1702306573.212249707,13.6543, 5.62906, -0.264943,0.00908598, 0.0236168, 0.996917, -0.0742707
1702306574.211508740,12.7209, 5.37275, -0.257102,0.0208308, 0.0212948, 0.997137, -0.0695051
1702306575.215495904,11.4154, 5.15688, -0.254523,0.0342652, 0.0174742, 0.998952, -0.0248213
1702306576.213364774,10.2308, 5.42733, -0.285988,0.0308909, 0.0148227, 0.992911, 0.113816
1702306577.212858211,8.7616, 5.75757, -0.227512,0.0348481, 0.00988862, 0.993175, 0.110862
1702306578.214908629,7.32591, 6.18953, -0.189705,0.028223, 0.00291433, 0.993682, 0.108584
1702306579.213161512,5.83554, 6.52134, -0.171419,0.0268045, -0.00132949, 0.997265, 0.0688585
1702306580.215677694,4.45966, 6.78732, -0.130428,0.0323136, -0.00462807, 0.997809, 0.057549
1702306581.214568683,3.01685, 6.94676, -0.101102,0.0314954, -0.00526828, 0.999391, 0.0140489
1702306582.213161644,1.63932, 6.94402, -0.0556045,0.0417783, -0.00945484, 0.998127, -0.0436744
1702306583.214781175,0.151178, 6.84709, -0.00174343,0.0390535, -0.0074985, 0.993145, -0.109919
1702306584.213310494,-1.16669, 6.4068, 0.0184444,0.0330869, -0.00172298, 0.977398, -0.208796
1702306585.213050658,-2.24489, 5.81061, 0.0575731,0.0291341, 0.00592317, 0.942137, -0.333908
1702306586.213607420,-2.92415, 4.98569, 0.0632202,0.0256936, 0.00543645, 0.870321, -0.491784
1702306587.213094382,-3.26526, 4.08904, 0.0722884,-0.019906, -0.00631477, -0.755095, 0.655283
1702306588.213477324,-3.23354, 3.10024, 0.0723517,-0.0232487, -0.0180163, -0.616676, 0.786668
1702306589.212623456,-2.82258, 2.19676, 0.074445,-0.0160746, -0.00944498, -0.453339, 0.891143
1702306590.213855172,-1.84689, 1.52514, 0.0658107,-0.00821274, -0.0114661, -0.296666, 0.954877
1702306591.213969124,-1.2002, 1.15712, 0.0254951,-0.00295645, -0.00414722, -0.180405, 0.983579
1702306592.213611831,-0.0616425, 0.696068, -0.00190987,-0.00467382, -0.00126498, -0.153062, 0.988205
1702306593.113101835,0.853776, 0.587246, -0.0280218,0.00130951, -0.00417438, 0.0136526, 0.999897
1702306594.213062737,1.05969, 0.586562, -0.0628918,0.00243794, 0.0031654, 0.0339122, 0.999417
1702306595.212613777,1.07344, 0.524092, -0.0609718,0.00172426, 0.000469041, 0.0356129, 0.999364
1702306596.213252651,1.06434, 0.525888, -0.0580661,0.00130751, 0.000537935, 0.0340751, 0.999418
